episode_id,frame_number,image_file,action,is_dead,is_eating
2_5ae9d3c6,0,2_5ae9d3c6_00000.png,0,False,False
2_5ae9d3c6,1,2_5ae9d3c6_00001.png,0,False,False
2_5ae9d3c6,2,2_5ae9d3c6_00002.png,0,False,False
2_5ae9d3c6,3,2_5ae9d3c6_00003.png,0,False,True
2_5ae9d3c6,4,2_5ae9d3c6_00004.png,2,False,False
2_5ae9d3c6,5,2_5ae9d3c6_00005.png,2,False,False
2_5ae9d3c6,6,2_5ae9d3c6_00006.png,0,False,False
2_5ae9d3c6,7,2_5ae9d3c6_00007.png,2,False,False
2_5ae9d3c6,8,2_5ae9d3c6_00008.png,1,False,False
2_5ae9d3c6,9,2_5ae9d3c6_00009.png,1,False,False
2_5ae9d3c6,10,2_5ae9d3c6_00010.png,3,False,False
2_5ae9d3c6,11,2_5ae9d3c6_00011.png,1,False,False
2_5ae9d3c6,12,2_5ae9d3c6_00012.png,1,False,False
2_5ae9d3c6,13,2_5ae9d3c6_00013.png,1,False,False
2_5ae9d3c6,14,2_5ae9d3c6_00014.png,0,False,False
2_5ae9d3c6,15,2_5ae9d3c6_00015.png,1,False,False
2_5ae9d3c6,16,2_5ae9d3c6_00016.png,2,False,False
2_5ae9d3c6,17,2_5ae9d3c6_00017.png,1,False,False
2_5ae9d3c6,18,2_5ae9d3c6_00018.png,3,False,False
2_5ae9d3c6,19,2_5ae9d3c6_00019.png,1,False,False
2_5ae9d3c6,20,2_5ae9d3c6_00020.png,1,False,False
2_5ae9d3c6,21,2_5ae9d3c6_00021.png,1,False,True
2_5ae9d3c6,22,2_5ae9d3c6_00022.png,3,False,False
2_5ae9d3c6,23,2_5ae9d3c6_00023.png,0,False,False
2_5ae9d3c6,24,2_5ae9d3c6_00024.png,3,False,False
2_5ae9d3c6,25,2_5ae9d3c6_00025.png,3,False,False
2_5ae9d3c6,26,2_5ae9d3c6_00026.png,3,False,False
2_5ae9d3c6,27,2_5ae9d3c6_00027.png,0,False,False
2_5ae9d3c6,28,2_5ae9d3c6_00028.png,0,False,False
2_5ae9d3c6,29,2_5ae9d3c6_00029.png,0,False,False
2_5ae9d3c6,30,2_5ae9d3c6_00030.png,0,False,False
2_5ae9d3c6,31,2_5ae9d3c6_00031.png,0,False,False
2_5ae9d3c6,32,2_5ae9d3c6_00032.png,0,False,False
2_5ae9d3c6,33,2_5ae9d3c6_00033.png,0,False,True
2_5ae9d3c6,34,2_5ae9d3c6_00034.png,3,False,False
2_5ae9d3c6,35,2_5ae9d3c6_00035.png,3,False,False
2_5ae9d3c6,36,2_5ae9d3c6_00036.png,1,False,False
2_5ae9d3c6,37,2_5ae9d3c6_00037.png,1,False,False
2_5ae9d3c6,38,2_5ae9d3c6_00038.png,0,False,False
2_5ae9d3c6,39,2_5ae9d3c6_00039.png,1,False,False
2_5ae9d3c6,40,2_5ae9d3c6_00040.png,1,False,False
2_5ae9d3c6,41,2_5ae9d3c6_00041.png,1,False,False
2_5ae9d3c6,42,2_5ae9d3c6_00042.png,1,False,True
2_5ae9d3c6,43,2_5ae9d3c6_00043.png,3,False,False
2_5ae9d3c6,44,2_5ae9d3c6_00044.png,1,False,False
2_5ae9d3c6,45,2_5ae9d3c6_00045.png,3,False,False
2_5ae9d3c6,46,2_5ae9d3c6_00046.png,0,False,False
2_5ae9d3c6,47,2_5ae9d3c6_00047.png,0,False,False
2_5ae9d3c6,48,2_5ae9d3c6_00048.png,0,False,False
2_5ae9d3c6,49,2_5ae9d3c6_00049.png,0,False,False
2_5ae9d3c6,50,2_5ae9d3c6_00050.png,3,False,False
2_5ae9d3c6,51,2_5ae9d3c6_00051.png,0,False,False
2_5ae9d3c6,52,2_5ae9d3c6_00052.png,3,True,False
2_5ae9d3c6,53,2_5ae9d3c6_00053.png,0,True,False
2_60c5d543,0,2_60c5d543_00000.png,1,False,False
2_60c5d543,1,2_60c5d543_00001.png,2,False,False
2_60c5d543,2,2_60c5d543_00002.png,1,False,False
2_60c5d543,3,2_60c5d543_00003.png,2,False,False
2_60c5d543,4,2_60c5d543_00004.png,1,False,False
2_60c5d543,5,2_60c5d543_00005.png,1,False,False
2_60c5d543,6,2_60c5d543_00006.png,1,False,False
2_60c5d543,7,2_60c5d543_00007.png,1,False,True
2_60c5d543,8,2_60c5d543_00008.png,3,False,False
2_60c5d543,9,2_60c5d543_00009.png,3,False,False
2_60c5d543,10,2_60c5d543_00010.png,1,False,False
2_60c5d543,11,2_60c5d543_00011.png,3,False,False
2_60c5d543,12,2_60c5d543_00012.png,3,False,False
2_60c5d543,13,2_60c5d543_00013.png,3,False,False
2_60c5d543,14,2_60c5d543_00014.png,1,False,False
2_60c5d543,15,2_60c5d543_00015.png,1,False,False
2_60c5d543,16,2_60c5d543_00016.png,3,False,False
2_60c5d543,17,2_60c5d543_00017.png,3,False,True
2_60c5d543,18,2_60c5d543_00018.png,0,False,False
2_60c5d543,19,2_60c5d543_00019.png,2,False,False
2_60c5d543,20,2_60c5d543_00020.png,0,False,False
2_60c5d543,21,2_60c5d543_00021.png,0,False,False
2_60c5d543,22,2_60c5d543_00022.png,0,False,False
2_60c5d543,23,2_60c5d543_00023.png,0,False,False
2_60c5d543,24,2_60c5d543_00024.png,0,False,False
2_60c5d543,25,2_60c5d543_00025.png,0,False,False
2_60c5d543,26,2_60c5d543_00026.png,3,False,False
2_60c5d543,27,2_60c5d543_00027.png,2,False,False
2_60c5d543,28,2_60c5d543_00028.png,0,False,False
2_60c5d543,29,2_60c5d543_00029.png,2,False,False
2_60c5d543,30,2_60c5d543_00030.png,0,False,False
2_60c5d543,31,2_60c5d543_00031.png,2,False,False
2_60c5d543,32,2_60c5d543_00032.png,1,False,False
2_60c5d543,33,2_60c5d543_00033.png,1,False,False
2_60c5d543,34,2_60c5d543_00034.png,2,False,False
2_60c5d543,35,2_60c5d543_00035.png,0,False,False
2_60c5d543,36,2_60c5d543_00036.png,3,True,False
2_60c5d543,37,2_60c5d543_00037.png,0,True,False
2_0a421495,0,2_0a421495_00000.png,0,False,False
2_0a421495,1,2_0a421495_00001.png,2,False,False
2_0a421495,2,2_0a421495_00002.png,2,False,False
2_0a421495,3,2_0a421495_00003.png,0,False,False
2_0a421495,4,2_0a421495_00004.png,0,False,False
2_0a421495,5,2_0a421495_00005.png,3,False,False
2_0a421495,6,2_0a421495_00006.png,3,False,False
2_0a421495,7,2_0a421495_00007.png,1,False,False
